operator, speedup, cpu_tol_time, gpu_tol_time, cpu_avg_time, gpu_avg_time
stack, 0.1127314257015809, 20791.793999980942, 184436.5390625, 346.52989999968236, 3073.942317708333
detach_, 0.11777229643878463, 3357.194999978412, 28505.8125, 1.19303304903284, 10.129997334754798
to, 0.1349285294567777, 3108.029000201322, 23034.6318359375, 0.5103495895240266, 3.7823697595956487
select, 0.16209087927123447, 7058.109999878476, 43544.15270996094, 5.059577060844785, 31.214446387068772
torch::autograd::GraphRoot, 0.16594676816120688, 10.911000006599352, 65.75, 0.7274000004399568, 4.383333333333334
detach, 0.18111497606885787, 10125.844000173733, 55908.375, 1.679244444473256, 9.271703980099502
item, 0.1877877793583594, 112.67300000305283, 600.0017700195312, 7.042062500190802, 37.5001106262207
is_nonzero, 0.19511605806472687, 187.34800000302494, 960.1875, 12.489866666868329, 64.0125
size, 0.2006501735191255, 16.33100000443767, 199.53778076171875, 0.5268064517560539, 2.625497115285773
is_complex, 0.2311272554928175, 4815.402000083199, 20834.41864013672, 0.5185657979844065, 2.2436375877812536
reciprocal, 0.2840290132670905, 259.4249999928288, 913.375, 17.29499999952192, 60.891666666666666
unsqueeze, 0.327958066693918, 355.24199999631537, 1083.193359375, 7.894266666584786, 24.070963541666668
LogSoftmaxBackward, 0.34557449572701143, 615.1550000030547, 1780.09375, 41.010333333536984, 118.67291666666667
NllLossBackward, 0.37459500296297005, 771.6540000098757, 2059.96875, 51.443600000658385, 137.33125
lt, 0.3750199237084328, 442.3360000140965, 1179.5, 29.489066667606433, 78.63333333333334
expand, 0.3890761072781491, 144.31000000086397, 370.904296875, 9.620666666724265, 24.726953125
ones_like, 0.39263641659460474, 379.11499999812804, 965.5625, 25.274333333208535, 64.37083333333334
empty, 0.3965541699839455, 5.684999999999945, 14.33599853515625, 5.684999999999945, 14.33599853515625
arange, 0.40693761880309326, 332.9929999863839, 818.2900390625, 22.19953333242559, 54.552669270833334
randperm, 0.4717261672220664, 61.96600000000001, 131.360107421875, 61.96600000000001, 131.360107421875
zeros, 0.4913199321413304, 397.34300000377016, 808.7255859375, 26.489533333584678, 53.9150390625
mul, 0.5126748442641962, 607.3749999940956, 1184.7177734375, 20.24583333313652, 39.49059244791667
rsub, 0.5335789154571555, 627.5059999918826, 1176.0322265625, 41.83373333279217, 78.4021484375
slice, 0.5567554441727475, 551.606000020638, 990.7509765625, 12.257911111569733, 22.016688368055554
random_, 0.5589952211154467, 19.46199999999999, 34.8160400390625, 19.46199999999999, 34.8160400390625
transpose, 0.6830044394831996, 2334.1569999894673, 3417.484375, 12.967538888830374, 18.986024305555556
view, 0.6999202236625355, 15716.685000034686, 9054.421875, 8.449830645179938, 12.0725625
is_floating_point, 0.7055643825347482, 23.837000009118583, 33.7843017578125, 1.4898125005699114, 2.1115188598632812
ExpandBackward, 0.7395254974520636, 934.9219999819761, 1264.21875, 1.2985027777527447, 1.755859375
permute, 0.7481685835874335, 9790.99000005578, 13086.609375, 13.598597222299693, 18.175846354166666
TransposeBackward0, 0.7644876938418713, 1679.2450000045355, 2196.5625, 9.329138888914086, 12.203125
AddBackward0, 0.7900201980950606, 2280.8130000316305, 2887.03125, 1.3823109091100791, 1.7497159090909091
log_softmax, 0.8387260381060673, 837.5989999923622, 998.65625, 55.839933332824145, 66.57708333333333
PermuteBackward, 0.8531276239474549, 7452.602999945986, 8735.625, 10.35083749992498, 12.1328125
TBackward, 0.971446951153743, 17324.87600002752, 17834.09375, 15.607996396421191, 16.066751126126125
torch::autograd::CopyBackwards, 0.9915958992081031, 3690.5649999933084, 3721.84375, 5.125784722212928, 5.169227430555556
nll_loss, 0.9983471905803106, 793.9980000084033, 795.3125, 52.93320000056022, 53.020833333333336
TanhBackward, 1.1623121342875904, 757.3189999967581, 651.5625, 50.487933333117205, 43.4375
AddmmBackward, 1.2803411673734202, 10245.209999999148, 8001.9375, 341.5069999999716, 266.73125
t, 1.4420709179706925, 26481.51999996052, 18363.53515625, 23.85722522518966, 16.54372536599099
