operator,speedup,cpu_avg_dur,gpu_avg_dur,cpu_tol_dur,gpu_tol_dur
detach_,0.08691773675746717,0.9171475666779637,10.551903453689167,584.2229999738629,6721.5625
to,0.12281750549515791,8.814539067070436,71.76940316067525,60467.73800010319,295474.6328125
is_nonzero,0.13538774629096145,3.786494464981658,27.967778242235546,3078.420000030088,22737.8037109375
is_complex,0.15438622374343625,0.3937715492704248,2.5505614407980235,2051.1560001496428,13186.402648925781
item,0.1612940423584951,2.835629268302433,17.580496011129238,4650.4320000159905,28832.01345825195
_local_scalar_dense,0.16476392101383514,1.1806573170656525,7.165751517691263,1936.27799998767,11751.832489013672
size,0.2093267255060192,0.4144121423377063,1.9797383317200454,4518.75000005035,47040.5625
any,0.22442961729622912,12.878747847534125,57.384350615967094,10470.422000045244,46653.47705078125
as_strided,0.2325419935248651,0.8073021741947026,3.4716403775405835,6200.887999989511,26304.619140625
add_,0.2344056953842751,15.906475202432128,67.85874027657776,31431.195000005886,157025.12500000093
copy_,0.2427684470291611,24.812081081099265,102.20471970197538,168920.6480001238,418119.50830078125
empty_strided,0.24439666714473113,1.9958084096827398,8.166266884895066,12198.380999980905,27724.47607421875
eq,0.27613390495819706,25.739678966788915,93.21448219365006,20926.35899999939,75783.3740234375
set_,0.27676012666012423,5.6214723247117195,20.311713224554122,4570.256999990628,16513.4228515625
permute,0.28600561940581537,6.843327183263686,23.92724729493389,5563.624999993377,19452.85205078125
eq_out,0.2879556855747072,17.08363345631053,59.32730038726169,13888.993999980461,48233.09521484375
slice,0.29058417529054825,5.017923628902908,17.26839950553262,9789.968999989575,31894.73388671875
empty_like,0.3027065242735388,5.762474371868727,19.03650536009427,5733.6620000093835,19436.27197265625
unsqueeze,0.3198720717635302,5.60981044627959,17.537668779119667,22876.806999928165,71518.61328125
clone,0.4427703623271702,37.322845018467866,84.29390987757535,30343.473000014375,68530.94873046875
stack,0.4579056746668908,6659.535769230798,14543.466346153846,86573.96500000037,189065.0625
is_floating_point,0.4871714072135891,1.7800714283831667,3.6538914271763394,24.920999997364333,51.15447998046875
torch::autograd::GraphRoot,0.5133493975848408,0.8193846153758036,1.5961538461538463,10.651999999885447,20.75
sub_,0.5469689736369038,19.814020910193612,36.22512768584717,16108.798999987406,29451.02880859375
view,0.6142338877980624,6.706875420891308,10.919090519304403,5975.826000014155,17110.21484375
detach,0.6804943011384224,4.09032692306881,6.0108173076923075,212.6969999995781,312.5625
addcmul_,0.759904330995259,11.832334319548405,15.57082100591716,7998.658000014721,10525.875
ViewBackward,0.7828632677573183,9.533358974322582,12.177553050397877,371.80099999858066,4590.9375
empty,0.7920395437146163,4.491580900701114,5.670904863709049,41389.91799996076,56312.08529663086
resize_,0.8268260156563353,2.479468737867863,2.998779296875,6384.632000009748,13608.46044921875
stride,0.8294756486048821,1.3841538461378942,1.6687094412788857,161.94599999813363,10542.90625
addcdiv_,0.8626620357366773,16.48804289938058,19.11298076923077,11145.916999981273,12920.375
nll_loss_forward,0.8915135678382293,38.38223076918915,43.05288461538461,498.96899999945896,559.6875
narrow,0.8918127150118556,14.325246153834383,16.063065610859727,4655.704999996175,3549.9374999999995
sqrt,0.9092605698877729,25.74705473373688,28.316475591715978,17405.009000006132,19141.9375
resize_as_,0.9173045112844207,4.692365384647228,5.115384615384615,244.0030000016559,199.49999999999997
flatten,0.9480843816283469,23.55169230708494,24.841346153846153,306.17199999210425,322.9375
reshape,0.9725807504024501,9.673788461484946,9.946514423076923,503.0369999972172,7241.0625
CatBackward,1.0299031764007531,37.17801923079354,36.09855769230769,3866.514000002528,3754.25
nll_loss,1.0599970963440608,49.142076923297004,46.36057692307692,638.847000002861,602.6875
contiguous,1.089606012503002,47.855561395952364,43.92005995453381,111072.75800000544,160747.41943359375
expand,1.1171252955352318,9.087384615603906,8.134615384615385,118.13600000285078,105.75
random_,1.2213175447310616,33.766999999999996,27.64801025390625,33.766999999999996,27.64801025390625
ones_like,1.2395667870048206,16.507692307708428,13.317307692307692,214.60000000020958,173.125
relu_,1.4449639985171494,591.0298195266097,409.02736686390534,199768.07899999406,138251.25
addcmul_out,1.446382788996753,9.597263313675942,6.635355029585799,6487.750000044937,4485.5
threshold_,1.460945667032943,564.3853550295652,386.31508875739644,190762.24999999302,130574.5
div_,1.4701091343916075,51.618780346794075,35.11220979397294,44650.24499997687,28546.226562499996
sqrt_out,1.5284032928292377,21.628828402407834,14.151257396449704,14621.088000027696,9566.25
cat,1.6772983842006066,3983.1432820513155,2374.7374465811968,466027.7640000039,277844.28125
_cat,1.6779698709732163,3962.1619316239685,2361.2831196581196,463572.9460000043,276270.125
addcdiv_out,1.8075463232650093,13.885819526635505,7.682137573964497,9386.814000005601,5193.125
div,2.0933701337240045,188.53726270626163,90.06398804919554,285633.95299998636,136446.94189453125
adaptive_avg_pool2d,2.248961622219317,908.5913076920954,404.0048076923077,11811.68699999724,5252.0625
mul_,2.262311089851846,26.235362426046326,11.596708579881657,35470.21000001463,15678.75
mean,2.343561066135808,837.8456153845719,357.50961538461536,10891.992999999435,4647.625
torch::autograd::AccumulateGrad,2.5366627444374714,32.010122781068524,12.618990384615385,21638.84300000232,8530.4375
max_pool2d_with_indices_backward,2.8499954077054817,17368.94989743576,6094.378205128205,677389.0459999946,237680.75
MaxPool2DWithIndicesBackward,2.8512404238818236,17386.70417948707,6097.94391025641,678081.4629999958,237819.8125
LogSoftmaxBackward,3.40776470586721,119.20623076870106,34.98076923076923,1549.6809999931138,454.75000000000006
