operator,speedup,cpu_avg_dur,gpu_avg_dur,cpu_tol_dur,gpu_tol_dur
detach_,0.09222784485450602,0.874748319168081,9.48464447529962,2992.513999874005,32446.96875
to,0.09867752442910732,7.071781014960355,71.66556980298913,134469.91599947115,295047.15087890625
_local_scalar_dense,0.11672785407957277,1.1394932926101298,9.761965570217226,1868.768999880613,16009.623535156252
stride,0.12437164143183463,0.21567329841355687,1.7341034976350511,5355.167999608617,34829.46875
is_nonzero,0.12772961423331378,3.4225227552956743,26.79506061173893,2782.511000055383,21784.38427734375
copy_,0.1379486158773331,13.922949602380989,100.92851975232269,264382.8899996126,415522.7158203125
item,0.138334625913678,2.557658536765543,18.48892509646532,4194.560000295491,30321.837158203125
unsqueeze,0.14776593409067199,3.78328443049126,25.603224814792323,15575.782000332518,105408.4765625
is_complex,0.20206624953317,0.5110133247831836,2.528939523368046,9510.980000864614,46937.11755371094
any,0.21504543678414337,11.765431734383935,54.7113759321187,9565.296000054139,44480.3486328125
empty_strided,0.24143748392853645,2.0022443542670754,8.293013668332145,37504.03899977659,32002.73974609375
set_,0.2481071479429793,4.951576875940456,19.957413226476014,4025.632000139591,16225.376953125
select,0.2505405450031203,4.239515408153761,16.921474358974358,306377.06000104785,659.9375
permute,0.27362072723427666,6.125151291685414,22.385553001037824,4979.748000140242,18199.45458984375
eq,0.2743972626286757,26.847699877222187,97.84244791666696,21827.180000181637,79545.91015625023
size,0.287881566032843,0.5245130533071959,1.82197512864494,51533.9320004853,132776.4375
eq_out,0.2964801459335521,18.777702336824145,63.335446215790284,15266.27199983803,51491.7177734375
slice,0.3265060482050993,5.315863456663842,16.281056617133807,14794.047999895472,37902.2998046875
torch::autograd::GraphRoot,0.4070935963373173,0.7946153851584173,1.9519230769230769,10.330000007059425,25.375
as_strided,0.4851875898071212,1.5953913956683141,3.2881949769212713,129124.59799981068,27137.47314453125
TBackward,0.5561883408960473,9.540769232293734,17.153846153846153,124.03000001981854,223.0
narrow,0.6136988887085665,9.64762075115595,15.720446832579185,10786.039999792352,10422.65625
stack,0.6476697792384571,9246.471615384404,14276.521634615385,120204.13099999724,185594.78125
addcmul_,0.6637410570429958,14.893633802870657,22.43892199349946,54987.29600019846,82844.5
clone,0.7031955165217705,58.40330504291173,83.05414876902675,47481.88699988724,67523.02294921875
sub_,0.7168701147109765,21.045853628759094,29.35797321840406,17110.279000181145,23868.0322265625
transpose,0.749342848738717,4.03852564151972,5.389423076923077,315.0050000385381,420.375
ViewBackward,0.7529061288913151,9.331692309047167,12.39423076923077,363.9360000528395,483.37500000000006
CatBackward,0.7768793723725888,45.95739487181537,59.156410256410254,8961.692000003997,11535.5
detach,0.8203059342067132,4.423225352097906,5.392165492957746,1256.1959999958053,1531.3749999999998
random_,0.889809328884182,27.27800000000002,30.656005859375,27.27800000000002,30.656005859375
reshape,0.9112460866534952,11.026953846667535,12.100961538461538,716.7520000333898,786.5625
nll_loss_forward,0.936961426984606,40.406461538711135,43.125,525.2840000032447,560.625
expand,0.9457522767726569,6.656641024976778,7.038461538461538,259.60899997409433,274.5
t,0.9664511985105018,13.019987179933546,13.471955128205128,1015.5590000348166,1050.8125
resize_as_,1.0260904056828577,5.384697802011742,5.247781065088757,980.0149999661371,886.875
flatten,1.034584815485477,24.46942307586925,23.651442307692307,636.2049999726005,614.9375
empty_like,1.048940248808362,11.964395466344705,11.406174450772326,78115.53799976458,32952.43798828125
nll_loss,1.0858606964915027,50.36723076802893,46.38461538461539,654.7739999843761,603.0
ones_like,1.1605997170694435,15.779692307078781,13.596153846153847,205.13599999202415,176.75
addcmul_out,1.179384226969891,12.178332069316093,10.326008938244854,44962.40199991502,38123.625
div_,1.2009345837805103,44.20033221078756,36.80494575453567,39382.49599981171,29922.420898437504
view,1.2328237059518041,6.46776882280576,5.246304716222427,6099.105999905832,17837.43603515625
sqrt,1.667343367126702,61.31709425783976,36.77532502708559,226382.7119999444,135774.5
is_floating_point,1.7314058706561728,2.832571429489982,1.6359950474330358,39.65600001285975,22.9039306640625
resize_,2.0501545890086748,6.948895621835337,3.389449585455594,41742.01600036487,45167.80517578125
addcdiv_,2.17482421123606,52.548335861221446,24.162107258938246,194008.45599962957,89206.5
LogSoftmaxBackward,2.269042075438868,100.07784615421238,44.10576923076923,1301.012000004761,573.375
_log_softmax_backward_data,2.3715921950985384,93.49546153753853,39.42307692307692,1215.4409999880008,512.5
adaptive_avg_pool2d,2.4472475604412973,456.96465384605557,186.72596153846155,11881.080999997444,4854.875
cat,2.755119056934361,3899.27730316712,1415.2845022624435,861740.2839999335,312777.875
_cat,2.7750886780028763,3878.45483257912,1397.5967194570135,857138.5179999856,308868.875
empty,2.9328658873873636,9.4188688680496,3.2114897952050767,287237.8250000406,113510.10681152344
mean,2.952387374812563,411.70900000060476,139.44951923076923,10704.434000015724,3625.6875
sqrt_out,3.0847915576386704,56.036341549397044,18.16535752979415,206886.17300037388,67066.5
mul_,3.1882224306439926,53.5179015439172,16.78612540628386,395176.1850002846,123948.75000000001
dropout,3.376815517757658,544.0244615387458,161.10576923076923,7072.318000003695,2094.375
relu_,3.5468452675732567,782.4223782052159,220.59670472756412,976463.1280001095,275304.6875
add_,3.550946212250089,55.31556217562246,15.577696441808747,596965.5469993176,168114.5
contiguous,3.725939818407919,35.1475549969484,9.433205234100326,174788.79099982438,187815.1162109375
addcdiv_out,3.8346691831394524,48.97823943665331,12.772481040086674,180827.66000012401,47156.0
threshold_,3.9100464755090876,766.0720568909196,195.92402844551282,956057.9269998677,244513.1875
