operator,speedup,cpu_avg_dur,gpu_avg_dur,cpu_tol_dur,gpu_tol_dur
detach_,0.0897445689347699,0.9285155576886721,10.346203326950693,1939.669000011636,21613.218749999996
to,0.1415521853039604,7.324124943288712,51.74151799607572,96898.17299970967,213019.82958984375
unsqueeze,0.1502057220045885,3.6578967694859346,24.35257938691705,15059.560999973593,100259.5693359375
is_nonzero,0.15922361133260013,4.011426814294456,25.193668079258916,3261.2900000213926,20482.4521484375
copy_,0.16285044596997256,12.450218925476134,76.45185649520289,164068.9849999245,312764.544921875
stride,0.16528686854950841,0.27740460170446407,1.6783220841368474,2845.338999682688,23498.1875
_local_scalar_dense,0.17510610645575855,1.358919512192069,7.760548959127287,2228.627999994993,12727.30029296875
is_complex,0.17728882177594915,0.4749226461239747,2.678807616670632,5851.0470002473685,32898.43634033203
item,0.1803526534818913,3.123623780453714,17.31953325969417,5122.742999944091,28404.034545898438
size,0.18406603442394368,0.3359591322305325,1.8252098127824403,17189.349000575196,87644.75
torch::autograd::GraphRoot,0.197689969890884,0.6253846162894311,3.1634615384615383,8.130000011762604,41.125
any,0.22842065262597513,12.90658917586404,56.50359994810886,10493.056999977465,45937.4267578125
slice,0.2325048813249427,4.473239817286639,19.239337220774114,11751.201000012,41287.61767578125
empty_strided,0.2531622183782524,2.079008409298303,8.21215907577502,26453.30299991161,29867.622558593746
set_,0.2568254294414917,5.481526445249836,21.343394449569494,4456.480999988116,17352.1796875
select,0.26334403890072305,4.402361124668096,16.717147435897434,135121.66999943787,651.9687499999999
eq_out,0.2701953731770393,17.614047970491807,65.19004290628844,14320.221000009838,52999.5048828125
eq,0.2776784146354314,26.679027060304055,96.07886552986623,21690.049000027197,78112.11767578125
TBackward,0.29115560919381184,9.283384616218077,31.884615384615383,120.684000010835,414.5
as_strided,0.31443933086977305,1.0410936247380818,3.3109522967699516,40776.51400011645,26593.56884765625
permute,0.3161648383314215,7.513817958189524,23.765507884571033,6108.734000008083,19321.35791015625
ones_like,0.3298696208055578,14.888538462127773,45.13461538461539,193.55100000766106,586.75
stack,0.4382082874338289,4819.465307691954,10998.115384615385,62653.0489999954,142975.5
ViewBackward,0.43832078455879275,8.881615384553488,20.262820512820515,346.382999997586,790.2500000000001
narrow,0.4942577948302855,8.035221413746253,16.25714656964657,7729.883000023896,7819.687499999999
clone,0.4987990858890998,38.23973062726917,76.66359403828413,31088.900999969832,62327.501953125
nll_loss_forward,0.5092042707755591,45.16984615423,88.70673076923077,587.20800000499,1153.1875
reshape,0.5281865316671583,8.277038461389916,15.670673076923077,430.4059999922756,814.875
transpose,0.5447607185704979,4.373800000061209,8.028846153846153,284.2970000039786,521.875
expand,0.5453102228722262,7.41150000028742,13.591346153846153,192.69900000747293,353.375
sub_,0.5636884537506875,18.622335793384003,33.03657484817035,15139.959000021196,26858.735351562496
nll_loss,0.5766598905398101,56.73446153849363,98.38461538461539,737.5480000004172,1279.0
detach,0.6054368747004253,3.672867052012118,6.066473988439307,635.4059999980964,1049.5
empty_like,0.6142840636300838,8.453248210522942,13.761138715806585,36611.017999774864,29366.27001953125
addcmul_,0.6189717225471904,12.73242240999202,20.570281236104936,28635.218000072055,46262.5625
t,0.663442701835572,13.259923077263654,19.986538461538462,861.8950000221375,1299.125
CatBackward,0.6938945390754305,50.50714529908071,72.78792735042735,5909.335999992443,8516.1875
is_floating_point,0.8389111935770612,2.2240714290237844,2.6511404854910716,31.137000006332983,37.115966796875
flatten,0.8760238690852142,21.87953846104658,24.97596153846154,284.43399999360554,324.6875
random_,0.939776533209904,29.741999999999962,31.64794921875,29.741999999999962,31.64794921875
view,0.9713822582719293,6.38366814154085,6.571736396439107,5770.835999952928,15594.73046875
LogSoftmaxBackward,1.0210663714585122,93.11830769325249,91.19711538461539,1210.5380000122823,1185.5625
sqrt,1.0218850531066892,38.898964428595484,38.065890395731486,87483.77099991124,85610.18750000012
resize_as_,1.03036632490142,5.234901098925928,5.080621301775148,952.7520000045189,858.625
addcmul_out,1.10660813309969,10.125261449496266,9.149816585148955,22771.7129999171,20577.9375
div_,1.1088917613346425,36.99510289015554,33.36223081469096,32000.763999984545,27123.49365234375
_log_softmax_backward_data,1.1430436237359842,85.40953846204167,74.72115384615384,1110.3240000065416,971.3749999999999
resize_,1.2451079210435554,3.5392677559992762,2.842538944763061,16245.239000036678,25463.4638671875
addcdiv_,1.2575280274761176,27.4818310359859,21.853851711871943,61806.63799993229,49149.3125
NllLossBackward,1.411092044312173,134.73215384634497,95.48076923076923,1751.5180000024845,1241.25
empty,1.674529773676031,6.145995683925961,3.6702815205452533,129582.17299989497,87690.36608886719
add_,1.772201876339076,24.29318710074846,13.707911849710984,159703.4120003204,90115.8125
nll_loss_backward,1.779452193479176,121.68715384638367,68.38461538461539,1581.9330000029877,889.0
cat,1.9246140624989385,2805.211216783377,1457.544798951049,401145.2040000229,208428.90625
_cat,1.9372465750572871,2786.828685314562,1438.5513548951049,398516.50199998234,205712.84375
sqrt_out,2.049033226512762,33.867699421967906,16.528623832814635,76168.45600000583,37172.87500000012
adaptive_avg_pool2d,2.0721525359840505,396.56815384575526,191.37980769230768,5155.385999994818,2487.9375
mul_,2.2440038016319326,34.80884304136879,15.511935860382392,156570.1760000768,69772.6875
addcdiv_out,2.3469826645985177,24.339052912412047,10.370359048465986,54738.530000014696,23322.9375
dropout,2.3525843179325623,326.4323846146715,138.75480769230768,4243.62099999073,1803.8124999999998
contiguous,2.378065293245719,30.44177143681191,12.801066279918345,105084.9949998747,159514.0869140625
mean,2.4203125000036008,351.5038461543691,145.23076923076923,4569.550000006799,1888.0
div,2.7600976749133284,137.70212694295532,49.890309388155764,425224.16799984605,154061.275390625
torch::autograd::AccumulateGrad,2.9319037817076663,41.01577278791391,13.989467541129391,92244.47300001838,31462.3125
relu_,3.5501512744434063,494.61937651820455,139.3234649122807,366512.95799998956,103238.68750000001
threshold_,4.133798912217442,479.4491970310386,115.98270917678812,355271.8549999996,85943.1875
log_softmax,4.168828816040675,395.61784615301383,94.89903846153847,5143.03199998918,1233.6875
max_pool2d_with_indices_backward,4.18631743562175,8577.711786982158,2048.987426035503,1449633.2919999848,346278.87500000006
MaxPool2DWithIndicesBackward,4.188127713154998,8595.902899408344,2052.445266272189,1452707.59000001,346863.25
mul,4.388093752411549,600.7258153842251,136.89903846153845,39047.177999974636,5339.0625
_log_softmax,4.448097370329078,383.02823076905827,86.11057692307692,4979.366999997757,1119.4375
addmm,5.830216790079101,1256.7480769230124,215.55769230769232,16337.724999999162,2802.25
batch_norm,6.042062935265868,1960.9159541161714,324.54411268556004,1453038.722000083,240487.1875
